 -0.0398780494  -0.0398780494  -0.0675967356  -0.0119505713  -0.0372100178  -0.0389666857  -0.0033749867  -0.0289826669  -0.0351358302  -0.0002675288  -0.0355736768  -0.0380213662  -0.0216752623  -0.0674472964  -0.0674878401  -0.0132969614  -0.0371961298  -0.0389589954  -0.0045159412  -0.0348208373  -0.0317959461  -0.0216705731  -0.0615319375  -0.0674891932 
 -0.0315224389  -0.0321846266  -0.0487521752  -0.0105474622  -0.0472431516  -0.0478770304  -0.0034309292  -0.0242833664  -0.0242857005  -0.0002960677  -0.0269193594  -0.0297355591  -0.0187973960  -0.0604932392  -0.0604713476  -0.0118837640  -0.0472261481  -0.0472173825  -0.0046194756  -0.0231270542  -0.0242816744  -0.0188537186  -0.0542746509  -0.0602711089 
 -0.6892309233  -0.6892309233  -0.6892306395  -0.0105938059  -0.6891458997  -0.6890812919  -0.0034290814  -0.6891656427  -0.6891187499  -0.0002951251  -0.6891933741  -0.6891884706  -0.0215382249  -0.6891478589  -0.6891173349  -0.0119304409  -0.6891418075  -0.6890749724  -0.0046160559  -0.6891357138  -0.6890964945  -0.0234014614  -0.6891381832  -0.6891089463 
 -0.2217525643  -0.2217525465  -0.2220745609  -0.0142038649  -0.2221953938  -0.2222004788  -0.0032851470  -0.2223064368  -0.2219238741  -0.0002216974  -0.2221178541  -0.2220987507  -0.0263780943  -0.2221052119  -0.2221350269  -0.0155664560  -0.2222201131  -0.2222146766  -0.0043496723  -0.2226781921  -0.2219316551  -0.0282285720  -0.2220753852  -0.2220935449 
 -0.9813460781  -0.9813463593  -0.9813460512  -0.0088142509  -1.0358750665  -1.0392509181  -0.0035000329  -0.9477743981  -0.9536985230  -0.0003313207  -0.9814416625  -0.9814368932  -0.0191524429  -0.9816872946  -1.0395432343  -0.0101380910  -1.0357805355  -1.0394918968  -0.0047473680  -0.8759390856  -0.9164762845  -0.0210219687  -1.0392813666  -1.0395290597 
 -0.0180938847  -0.0165141596  -0.0165141607  -0.0118773374  -0.0177693626  -0.0178506433  -0.0030598648  -0.0146307261  -0.0148724459  -0.0002603427  -0.0068389065  -0.0078315897  -0.0142309564  -0.0142309585  -0.0177765852  -0.0122793899  -0.0122820870  -0.0178346185  -0.0030720094  -0.0154192192  -0.0148724375  -0.0142303557  -0.0142303557  -0.0178446245 
 -0.0172064812  -0.0172062018  -0.0172062039  -0.0133310607  -0.0175672367  -0.0175680063  -0.0028314467  -0.0155538141  -0.0155538736  -0.0002381805  -0.0084593892  -0.0156419590  -0.0159494027  -0.0159494169  -0.0175953842  -0.0137821434  -0.0175792545  -0.0175682088  -0.0031404141  -0.0031664978  -0.0155511142  -0.0159495991  -0.0159495991  -0.0175849837 
 -0.2014579088  -0.2014579133  -0.1953934585  -0.0107245089  -0.2279895132  -0.2190213395  -0.0034238702  -0.1966950959  -0.1986834158  -0.0002924666  -0.1981574199  -0.1981203353  -0.0217134534  -0.2125625418  -0.2125547859  -0.0120620837  -0.2084287689  -0.2056799141  -0.0046064115  -0.1922209243  -0.1964137599  -0.0235762280  -0.1938211640  -0.1900063880 
 -0.0100839421  -0.0100927098  -0.0100927098  -0.0072256452  -0.0072327791  -0.0091132007  -0.0026578558  -0.0101138781  -0.0101083018  -0.0003002740  -0.0052621716  -0.0052576701  -0.0083507838  -0.0083507841  -0.0091126439  -0.0072211713  -0.0072211715  -0.0091150851  -0.0028891325  -0.0101138755  -0.0101119111  -0.0083510169  -0.0083510169  -0.0091006287 
 -0.3419958525  -0.3419958462  -0.3419958462  -0.0111401326  -0.3421932163  -0.3421932163  -0.0034072992  -0.3384749404  -0.3384749404  -0.0002840129  -0.3421781382  -0.3421781382  -0.0222706645  -0.3383675442  -0.3383675442  -0.0124806957  -0.3421542398  -0.3421542398  -0.0045757429  -0.3383640503  -0.3383640503  -0.0241319701  -0.3383805871  -0.3383805871 
 -0.2243288536  -0.2247954064  -0.2247954064  -0.0106721608  -0.2128419579  -0.2128419579  -0.0034259574  -0.2407124376  -0.2407124376  -0.0002935313  -0.2081372543  -0.2081372543  -0.0216432723  -0.2100612514  -0.2100612514  -0.0120093592  -0.2243375527  -0.2243375527  -0.0046102742  -0.2221420958  -0.2221420958  -0.0235062319  -0.2121506561  -0.2121506561 
